OBJECTID,GLOBAL,CODE,STATUSOBJECT,JNEXTERN,JNINTERN,JNRVZ,EXTERN_DR_HOOGTE,EXTERN_DR_BREEDTE,INTERN_BERGING_M3,RIOLERINGSGEBIEDID,TYPERGD,GEOMETRY,datakey,metadatakey
401,5088BDEA-54DB-4D09-9770-A2A913C63752,AST-AST-KOM-2,planvorming,ja,nee,ja,23.34,8.0,585.0,ced0003b-2fd8-4564-9a33-0203c57aac03  ,Gemengd gerioleerdgebied,POINT (179173.162999999 379639.908 0.0),5088BDEA-54DB-4D09-9770-A2A913C63752,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
402,CFADCF56-3763-4711-A0E6-172F84A3E3E1,BOX-BOX-SLU-48,planvorming,ja,nee,nee,14.25,0.8,,bd971435-d0b8-4bad-aa93-d6f2358427b1  ,Gemengd gerioleerdgebied,POINT (196068.528999999 405889.504000003 0.0),CFADCF56-3763-4711-A0E6-172F84A3E3E1,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
403,F074F998-CCBD-49C1-9643-9ABF9FF33842,LAA-AAR-OPN-4,planvorming,ja,nee,nee,13.98,1.0,,None,Gemengd gerioleerdgebied,POINT (172392.524999999 391883.090000002 0.0),F074F998-CCBD-49C1-9643-9ABF9FF33842,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
404,39696935-61BE-4C7F-9A0B-E068ACD845AB,MAA-VST-VST-11,planvorming,ja,nee,nee,5.6000000000000005,1.0,,a140f2e4-fea8-481c-b06f-6de66f177eb8  ,Gemengd gerioleerdgebied,POINT (161300.741999999 413129.262999999 0.0),39696935-61BE-4C7F-9A0B-E068ACD845AB,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
405,D41E75E3-2E43-46BC-9E60-9D1E109C1FC2,VEG-VEG-WES-28,planvorming,ja,nee,nee,8.6,5.5,,60119383-c8cc-4afc-bf7a-9925288bdabf  ,Gemengd gerioleerdgebied,POINT (164815.653999999 403570.667000002 0.0),D41E75E3-2E43-46BC-9E60-9D1E109C1FC2,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
406,26A9B2AA-BF28-406A-A1EF-E3257DAE000E,HEL-HEL-BLO-14,planvorming,ja,nee,ja,15.1,6.0,360.0,3c340e9d-609c-4796-8192-5d375cbb7a3b  ,Gemengd gerioleerdgebied,POINT (174707.353999998 389649.068000001 0.0),26A9B2AA-BF28-406A-A1EF-E3257DAE000E,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
407,871C695B-269E-4D0A-8383-0B1C189F6183,HEL-STI-KER-67,planvorming,ja,nee,ja,15.6,4.5,510.0,cb6a0555-0a56-4f7a-aad9-3b1e432a7287  ,Gemengd gerioleerdgebied,POINT (171022.361000001 387925.170000002 0.0),871C695B-269E-4D0A-8383-0B1C189F6183,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
408,CFE8032B-28ED-44F6-B19F-F6E8EB85BBD8,HER-HER-ZAN-81,planvorming,ja,nee,nee,4.49,11.200000000000001,,1c009c9a-c725-4dce-8906-24c2c5d68afd  ,Gemengd gerioleerdgebied,POINT (148844.649 412078.250999999 0.0),CFE8032B-28ED-44F6-B19F-F6E8EB85BBD8,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
409,02B605A5-FD0B-489C-8D10-E9034B85B4C2,BER-HDI-KOM-28,planvorming,ja,nee,nee,7.25,1.45,,5f17faf5-9d94-4b12-9bbb-9b43289e59ff  ,Gemengd gerioleerdgebied,POINT (162189.471999999 406846.37 0.0),02B605A5-FD0B-489C-8D10-E9034B85B4C2,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
410,E8A76B6C-2A7B-404D-A4CA-069A6FC10ED5,VEG-VEG-VEN-08,planvorming,None,None,None,,,,4ff87103-46ca-4c56-8b36-e996e345491e  ,None,POINT (166725.556000002 404806.250000002 0.0),E8A76B6C-2A7B-404D-A4CA-069A6FC10ED5,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
411,E4E86DF2-A3B1-42B6-89E8-011365AC4390,UDE-UDE-VLU-23,planvorming,ja,nee,nee,19.51,10.0,,996949d3-4cd5-4e57-87d5-d09fab32441c  ,Verbeterd gescheiden stelsel,POINT (172689.510000002 409266.809999999 0.0),E4E86DF2-A3B1-42B6-89E8-011365AC4390,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
165,EF49CFE3-0F8F-4045-8010-1BC45E1A616E,MAA-GEF-KOM-1,planvorming,ja,nee,ja,4.08,5.0,287.0,f4a1d01b-2cbc-486a-9584-b573bfd18708  ,Gemengd gerioleerdgebied,POINT (159534.408 416783.770000001 0.0),EF49CFE3-0F8F-4045-8010-1BC45E1A616E,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
166,C82B64A1-6746-4A91-BE72-76BCBD238B2C,SOM-LIE-KER-8,planvorming,ja,nee,ja,21.55,5.0,353.0,15f9943b-92ac-4d92-b5aa-cf764cecfe95  ,Gemengd gerioleerdgebied,POINT (175862.896000002 380712.073000001 0.0),C82B64A1-6746-4A91-BE72-76BCBD238B2C,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
167,3F83C616-E2BA-47FB-BF5B-5BB7DEF7849F,AST-AST-LIE-9,planvorming,ja,nee,ja,22.75,22.0,1311.0,d036aea9-0616-459e-b444-a5fee78aa920  ,Gemengd gerioleerdgebied,POINT (180599.502999999 380301.896000002 0.0),3F83C616-E2BA-47FB-BF5B-5BB7DEF7849F,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
168,6D2885C2-B7C2-48E9-AF8D-0978CD19273B,HEU-HED-KER-10,planvorming,ja,nee,nee,1.52,1.6,,a6e95764-6a53-47b0-b4ac-b7d5b544183b  ,Gemengd gerioleerdgebied,POINT (141301.600000001 415874.061000002 0.0),6D2885C2-B7C2-48E9-AF8D-0978CD19273B,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
169,3FC8F2BC-A0E5-4AB5-BAEF-689697B92037,BOE-BOE-VOG-4,planvorming,ja,nee,nee,15.1,6.8,,80ac2524-7154-4b21-95b4-1e7a3e2a49bd  ,Gemengd gerioleerdgebied,POINT (175172.988000002 400563.133000001 0.0),3FC8F2BC-A0E5-4AB5-BAEF-689697B92037,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
