OBJECTID,CODE,DOORSTROOMBREEDTE,LAAGSTEDOORSTROOMHOOGTE,HOOGSTEDOORSTROOMHOOGTE,HOOGTECONSTRUCTIE,STATUSLEGGERWATERSYSTEEM,STATUSLEGGERWATERVEILIGHEID,INDICATOR,GEOMETRY,datakey,metadatakey
1652,203L,1.47,6.38,7.26,7.58,Vastgesteld,Niet van toepassing,L,POINT (156578.754000001 402559.123),203L,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1653,108NRS,0.41000000000000003,16.16,16.91,16.9,Vastgesteld,Niet van toepassing,L,POINT (183559.265999999 407129.079),108NRS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1654,114SMD,1.5,12.530000000000001,14.15,14.97,Vastgesteld,Niet van toepassing,L,POINT (192462.673 404362.888),114SMD,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1655,234GA,1.47,17.22,17.86,18.39,Vastgesteld,Niet van toepassing,L,POINT (173285.344000001 383829.675999999),234GA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1656,217KC,1.24,12.41,13.43,13.43,Vastgesteld,Niet van toepassing,L,POINT (167518.352000002 393368.346000001),217KC,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1657,251CAA,1.5,13.48,14.52,14.870000000000001,Vastgesteld,Niet van toepassing,L,POINT (175349.629000001 397462.960000001),251CAA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1658,251CI,1.0,19.26,19.88,20.34,Vastgesteld,Niet van toepassing,L,POINT (178361.311000001 396158.285),251CI,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1659,253AC,0.73,11.69,13.040000000000001,13.200000000000001,Vastgesteld,Niet van toepassing,L,POINT (173493.714000002 397679.59),253AC,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1660,253BC,0.9500000000000001,15.55,16.01,16.21,Vastgesteld,Niet van toepassing,L,POINT (176602.579999998 394332.462000001),253BC,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1661,253GD,1.26,17.740000000000002,17.75,18.14,Vastgesteld,Niet van toepassing,L,POINT (178011.155999999 391852.350000001),253GD,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1662,253L,2.65,19.31,20.490000000000002,20.86,Vastgesteld,Niet van toepassing,L,POINT (179013.274 392911.232999999),253L,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1663,256AC,1.0,13.09,13.91,14.530000000000001,Vastgesteld,Niet van toepassing,L,POINT (174618.380800001 392868.184099998),256AC,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1664,261BIB,2.8000000000000003,23.94,24.75,25.02,Vastgesteld,Niet van toepassing,L,POINT (183110.243999999 383566.724),261BIB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1665,261BIH,1.98,28.48,29.55,29.76,Vastgesteld,Niet van toepassing,L,POINT (186376.546999998 383636.693),261BIH,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1666,261BR,0.86,30.57,31.400000000000002,31.8,Vastgesteld,Niet van toepassing,L,POINT (188116.739999998 381743.366),261BR,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1667,261CQB,1.0,25.810000000000002,26.71,27.02,Vastgesteld,Niet van toepassing,L,POINT (186007.298999999 387785.460999999),261CQB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1668,261CTB,1.0,27.64,28.72,28.98,Vastgesteld,Niet van toepassing,L,POINT (185767.066 384429.068999998),261CTB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1669,261JQ,0.87,26.87,27.51,28.07,Vastgesteld,Niet van toepassing,L,POINT (186931.793000001 388344.873),261JQ,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1670,275AA,0.75,19.26,19.87,20.35,Vastgesteld,Niet van toepassing,L,POINT (178195.938000001 383318.802000001),275AA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1671,275JD,1.35,29.52,30.03,30.82,Vastgesteld,Niet van toepassing,L,POINT (189552.899 376378.526000001),275JD,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1672,280BA,0.87,21.04,21.73,21.98,Vastgesteld,Niet van toepassing,L,POINT (177085.997000001 380074.66),280BA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1673,287DD,0.87,25.330000000000002,25.82,26.53,Vastgesteld,Niet van toepassing,L,POINT (184698.629000001 376209.057999998),287DD,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1674,292E,2.35,26.25,26.97,27.240000000000002,Vastgesteld,Niet van toepassing,L,POINT (184947.454999998 375170.732999999),292E,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1675,107PMB,1.0,10.49,11.01,11.78,Vastgesteld,Niet van toepassing,L,POINT (181950.002999999 411459.359999999),107PMB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1676,292AC,0.75,23.990000000000002,24.72,24.97,Vastgesteld,Niet van toepassing,L,POINT (180730.756999999 374336.491999999),292AC,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1677,294B,3.36,24.17,25.07,25.82,Vastgesteld,Niet van toepassing,L,POINT (179674.745499998 373727.457600001),294B,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1678,104FSV,2.0,9.46,10.47,10.84,Vastgesteld,Niet van toepassing,L,POINT (170823.653000001 417921.107999999),104FSV,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1679,251LAB,0.5,21.09,21.8,22.1,Vastgesteld,Niet van toepassing,L,POINT (180610.390999999 396068.300000001),251LAB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1680,211JCC,1.0,12.44,12.44,12.75,Vastgesteld,Niet van toepassing,L,POINT (171385.717 405801.335999999),211JCC,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1681,104FYB,0.5,7.640000000000001,8.02,8.01,Vastgesteld,Niet van toepassing,L,POINT (172234.907000002 418403.475000001),104FYB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1682,103JVM,5.2,5.43,5.43,5.62,Vastgesteld,Niet van toepassing,L,POINT (162830.27 417974.737),103JVM,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1683,234CBA,0.73,12.950000000000001,13.82,13.99,Vastgesteld,Niet van toepassing,L,POINT (167844.741 391891.938999999),234CBA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1684,104FCW,3.0,6.66,8.03,8.27,Vastgesteld,Niet van toepassing,L,POINT (178757.725000001 419052.658),104FCW,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1685,280KNW,2.8000000000000003,17.150000000000002,18.75,20.63,Vastgesteld,Niet van toepassing,L,POINT (176819.454999998 381108.228),280KNW,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1686,294LGD,1.4000000000000001,22.740000000000002,24.28,25.97,Vastgesteld,Niet van toepassing,L,POINT (179797.043000001 373872.600000002),294LGD,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1687,253GRT,2.3000000000000003,15.65,15.68,15.700000000000001,Vastgesteld,Niet van toepassing,L,POINT (176365.149 392913.037999999),253GRT,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1688,234SGH,2.0,17.36,18.37,18.67,Vastgesteld,Niet van toepassing,L,POINT (172534.741999999 383361.879000001),234SGH,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1689,234SAN,0.5,17.84,18.64,18.82,Vastgesteld,Niet van toepassing,L,POINT (172497.182 383384.276000001),234SAN,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1690,234BKA,0.73,12.22,13.56,13.700000000000001,Vastgesteld,Niet van toepassing,L,POINT (170050.294 393155.329),234BKA,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1691,204KLO,2.0,1.7,4.7,5.05,Vastgesteld,Niet van toepassing,L,POINT (153114.936000001 412185.181000002),204KLO,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1692,204KLS,2.0,1.7,4.7,5.05,Vastgesteld,Niet van toepassing,L,POINT (153115.796999998 412182.956999999),204KLS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1693,102DDP,4.0,0.76,2.42,2.42,Vastgesteld,Niet van toepassing,L,POINT (151139.791999999 414564.07),102DDP,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1694,114CNS,0.75,21.17,22.13,22.55,Vastgesteld,Niet van toepassing,L,POINT (186050.164999999 399721.842),114CNS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1695,275HGB,2.25,28.88,30.44,30.54,Vastgesteld,Niet van toepassing,L,POINT (188938.629000001 379433.048999999),275HGB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1696,294KDO,1.3,22.72,24.12,27.060000000000002,Vastgesteld,Niet van toepassing,L,POINT (179741.103999998 373863.620000001),294KDO,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1697,294LGE,1.4000000000000001,22.740000000000002,24.28,25.97,Vastgesteld,Niet van toepassing,L,POINT (179797.364 373869.82),294LGE,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1698,201KNW,6.2,17.63,17.63,18.04,Vastgesteld,Niet van toepassing,L,POINT (176996.831 381620.473999999),201KNW,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1699,117GPV,0.8,0.7000000000000001,1.5,3.38,Vastgesteld,Niet van toepassing,L,POINT (146597.412 414631.614999998),117GPV,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1700,211LT,0.72,18.7,19.63,19.69,Vastgesteld,Niet van toepassing,L,POINT (174459.701000001 405606.414999999),211LT,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1701,211HD,1.5,13.49,14.41,14.72,Vastgesteld,Niet van toepassing,L,POINT (169768.581 408667.587000001),211HD,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1702,280AC,0.9,22.31,22.96,23.46,Vastgesteld,Niet van toepassing,L,POINT (175510.809999999 380067.421999998),280AC,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1703,103KLS,0.8,3.0,3.7,4.6000000000000005,Vastgesteld,Niet van toepassing,L,POINT (159494.978 417276.103999998),103KLS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1704,211MOR,0.14,18.48,18.490000000000002,19.2,Vastgesteld,Niet van toepassing,L,POINT (172613.388999999 409103.118999999),211MOR,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1705,211MRN,0.5,17.25,17.76,19.2,Vastgesteld,Niet van toepassing,L,POINT (172612.703000002 409103.114999998),211MRN,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1706,116KKW,1.97,1.06,1.59,2.14,Vastgesteld,Niet van toepassing,L,POINT (147566.181000002 411522.879999999),116KKW,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
