index,hydroobject_CODE,endpoint_hydroobject_CODE
534,2042145,2042160
536,2610030,2614510
538,2042220,2042230
539,2042240,2042230
541,2510700,2510690
543,1184770,1184760
544,1184751,1184760
545,2800620,2800590
547,2800610,2800590
549,2870060,2870050
550,2510660,2510630
552,2510650,2510630
554,2510460,2510700
555,2510710,2510700
557,2510620,2510610
559,2790010,2870381
561,2920830,2920650
563,2920740,2920720
564,2920730,2920720
566,2750450,2750440
567,2750470,2750460
570,2752090,2752080
571,2752050,2752080
573,2800020,2800010
574,2800030,2800010
576,2112315,2112312
578,2610365,2610371
579,2610335,2610371
580,2610370,2610371
582,1015210,1015100
583,1015020,1015100
584,1015207,1015100
586,3100150,3100140
587,3100100,3100140
588,2510610,2510600
591,2613558,2613556
592,2510630,2510620
594,2510590,2510620
596,2790550,2790560
597,2790570,2790560
599,2800060,2800050
600,2510350,2510386
602,2511820,2510386
604,2613240,2613230
605,2613210,2613230
607,2613850,2613840
609,2750510,2750520
610,2750530,2750520
612,2610190,2610199
613,2610220,2610199
614,2610290,2610199
616,2450060,2450050
618,2340940,2340930
620,2510370,2510360
622,2290070,2290010
624,2510380,2510370
625,2510385,2510370
626,2510386,2510380
628,2510385,2510380
630,2510160,2510150
631,2510161,2510150
632,2510250,2510190
634,01741,2510190
635,2510240,2510190
637,2510280,2510270
639,2510300,2510280
640,2510331,2510280
641,2510295,2510280
643,2340140,2340170
644,2340180,2340170
646,2170160,2170140
647,2170150,2170140
649,2800410,2800400
650,2800370,2800400
651,04860,2800400
653,2611820,2611840
654,2611850,2611840
656,2612900,2612910
657,2612920,2612910
659,2611510,2611500
661,2530660,2530650
663,2530670,2530660
665,02262,2531160
666,2531170,2531160
668,2420020,2420010
670,2420030,2420020
672,2342510,2342500
674,2342594,2342585
676,2342900,2342820
677,2342910,2342820
679,2343350,2343340
680,2343200,2343340
682,2343660,2343640
683,2343650,2343640
685,2340990,2340940
686,2340980,2340940
688,2171950,2171945
690,2172090,2172070
691,2172080,2172070
693,2270510,2270509
695,2011065,2011060
696,2011060,2011055
698,2280010,2011055
700,1042480,1042475
702,2613396,2613394
704,1170660,1170625
705,1170650,1170625
707,1072974,1072972
709,2613932,2613930
711,1160257,1160250
713,1086818,1086815
715,2270590,2270570
717,2270640,2270610
719,2270780,2270770
720,2270740,2270770
721,2042730,2042720
724,2050590,2050570
725,02675,2050570
727,2040530,2040520
729,2031260,2031250
730,2031240,2031250
732,1181920,1181870
733,1181910,1181870
735,1183830,1183820
737,1122050,1122040
739,1087155,1087200
740,1087150,1087200
742,1082640,1082630
743,1082610,1082630
745,1073080,1073070
746,1073880,1073070
748,1053140,1053130
750,1057560,1057550
752,1061225,1061220
753,1061130,1061220
755,1063130,1063120
757,1043660,1043590
758,1043595,1043590
760,1043810,1043800
761,1043750,1043800
762,1043700,1043800
764,1045320,1045310
765,06092,1045310
767,1046910,1046900
768,1046909,1046900
770,1042265,1042300
771,1042310,1042300
773,1043400,1043390
775,1031630,1031620
777,1035100,1035030
778,1035110,1035030
779,1038230,1038220
782,2112710,2112700
784,2113320,2113310
785,2113330,2113310
787,2170460,2170430
788,2170450,2170430
790,2170880,2170840
791,2170870,2170840
793,2171220,2171210
795,2111100,2111090
797,2111320,2111310
799,2043750,2043740
801,2040810,2040660
802,2040800,2040660
804,2040840,2040850
805,2040860,2040850
807,2041980,2042000
808,2042010,2042000
810,2042540,2042530
812,2042990,2042960
813,2042980,2042960
815,2030095,2030090
816,2031750,2030090
818,2031300,2031290
819,2031230,2031290
821,1181930,1181920
823,2270820,2270800
825,2270860,2270855
827,2300065,2300060
829,2320150,2320060
830,2320090,2320060
832,2612860,2612840
833,2612870,2612840
835,2613502,2613490
837,2613570,2613600
838,2613610,2613600
840,2750320,2750260
841,2750310,2750260
843,1160260,05126
844,1183440,05126
845,1160255,05126
847,1086210,05123
848,1086220,05123
850,2800800,05788
851,1181740,01620
854,02082,01621
856,03913,01622
857,1047060,01622
858,01622,03913
860,1047060,03913
862,2750450,01623
864,1180080,01624
866,01625,02947
867,1043800,01626
870,1084255,01628
871,1084215,01628
873,1170450,01629
875,00010,01630
877,00240,01631
879,04854,01632
880,1012815,01632
882,00250,01633
884,1055140,01634
886,00041,01635
888,02620,01637
890,2042671,02334
891,2042845,02334
893,1083532,1083530
895,1180610,02328
897,1146000,02330
899,05796,05797
900,05929,05797
902,2800710,05801
904,2344400,05803
906,1045490,1045478
908,1046170,1046160
910,1037020,1037010
912,1038740,1038730
914,1038750,1038740
916,1037440,1038760
917,1037445,1038760
919,1040530,1040520
920,1040120,1040520
922,1041060,1041020
923,1041055,1041020
925,1041220,1041120
926,1041210,1041120
928,1042750,1042570
929,1042630,1042570
931,1030100,1030095
933,1031535,1031530
935,2043390,2043375
936,2043400,2043375
938,2043960,2043449
940,2031470,2031460
941,2031760,2031460
943,2031690,2031685
945,1180090,1184320
946,1184341,1184320
948,1171355,1171350
949,1184320,1180090
951,1184341,1180090
953,1180430,1180420
954,1180370,1180420
956,1145855,1145850
958,1145930,1145920
960,1145860,1145930
961,1145940,1145930
963,1170350,1170340
965,1121030,1121100
966,1121110,1121100
968,1121620,1121610
969,1121570,1121610
971,1140150,1140140
973,2610042,2610030
975,1141090,1141080
977,2610050,2610045
978,2610045,2610042
980,2614510,2610020
983,3200410,3200380
984,2510570,2510560
987,3200247,02692
989,1142910,1142900
991,1143860,1142990
992,1143870,1142990
994,1082600,1082550
995,1082590,1082550
997,1083100,1083360
998,1083380,1083360
1000,1087110,1087155
1001,1087160,1087155
1003,1072565,1072640
1004,1072650,1072640
1006,1072750,1072740
1007,1072650,1072740
1009,1073090,1073080
1010,1073065,1073080
1012,1073670,1073660
1014,1080750,1080710
1015,1080760,1080710
1017,1081830,1081820
1019,1060310,1060260
1021,1061230,1061225
1022,1061240,1061225
1024,1070420,1070440
1025,1070450,1070440
1027,1071910,1071900
1029,1052040,1052020
1031,1053030,1053020
1033,1057600,1057590
1035,1042920,1042915
1037,1048027,1042930
1038,1048030,1042930
1040,1046410,1046195
1041,1046400,1046195
1043,1034550,1034540
1044,1035030,1035100
1046,1035110,1035100
1048,1035820,1035730
1049,1035817,1035730
1051,1038505,1038500
1053,1042190,1042170
1054,1042180,1042170
1056,1015005,1015000
1058,1026060,1027140
1059,1028320,1027140
1060,05895,1027140
1062,1030090,1030070
1064,1100940,1100936
1065,1100945,1100936
1067,1046450,1046410
1068,1046449,1046410
1070,1010330,1010320
1072,2940210,2940200
1074,2940420,2940410
1076,2010010,2990010
1077,2010020,2990010
1078,2920719,2990010
1079,2010015,2990010
1081,1181245,02323
1083,2320009,02325
1085,1171230,02326
1087,2113865,2050645
1088,2113860,2050645
1090,1083537,1083535
1092,2611140,01959
1093,2042290,01958
1096,1046180,01951
1098,01859,01963
1100,2112920,01945
1102,04666,01961
1105,02912,01948
1106,2610780,01948
1108,2041990,01944
1110,1012810,1012700
1111,05015,1012700
1113,1013410,1013330
1114,1011200,1013330
1116,1013935,1013930
1117,01733,1013930
1118,00060,1013930
1120,2940620,2940610
1121,2940600,2940610
1123,2750009,3100030
1125,3220020,3220010
1126,3220030,3220010
1128,2611945,2611940
1130,2611155,2611150
1132,1070700,1070730
1133,1070740,1070730
1135,2613990,2613980
1137,2830090,2830080
1139,2850020,2850010
1141,2870210,2870200
1143,2870290,2870280
1144,2870830,2870820
1147,1087140,01988
1149,2343180,01597
1151,2880020,01598
1153,2042560,01599
1155,2040250,01600
1157,1043450,01601
1159,04131,01602
1161,1043820,01607
1163,03522,01610
1165,1045390,01611
1167,1183880,01614
1169,06054,01616
1171,02873,01619
1172,2111590,01619
1173,2940200,2940190
1176,2940300,2940220
1177,2940310,2940220
1179,2752000,2751990
1180,2790060,2790050
1182,2790020,2790050
1184,2790280,2790300
1185,2790310,2790300
1187,2612650,2612640
1189,1055430,1055420
1191,1055847,1055730
1192,1055850,1055730
1194,1055920,1055910
1195,1055990,1055980
1198,1060120,1060115
1200,1047100,1047090
1201,1046801,1047090
1202,1047260,1047250
1205,1048050,1047420
1206,1048060,1047420
1208,1050540,1050535
1210,1052960,1052950
1212,1046300,1046310
1213,1046711,1046310
1214,1046320,1046310
1216,1043030,1043010
1218,1043410,1043420
